a large number of,many
a number of,some
absence of,no
abundance,a lot
accede to,allow
accelerate,speed up
accentuate,stress
accompany,go with
accompanying,with
accomplish,do
accorded,given
according to our records,our records show
accordingly,so
accrue,gain
accurate,right
acknowledge,thank you for
acquaint yourself with,find out about
acquiesce,agree
acquire,get
additional,more
addressees,you
addressees are requested,please
adjacent to,next to
adjacent,next to
adjustment,change
admissible,ok
advantageous,helpful
adversely impact on,hurt
advise,tell
afford an opportunity,let
afforded,given
aggregate,total
aircraft,plane
aligned,in line
alleviate,ease
allocate,give
along the lines of,like
alternatively,or
ameliorate,help
amendment,change
an absence of,no
and/or,or
anticipate,expect
apparent,clear
appreciable,many
apprise,tell
appropriate to,right for
appropriate,right
approximate,about
arrive onboard,arrive
as a consequence of,because
as a means of,to
as of the date of,from
as regards,about
ascertain,learn
assemble,build
assistance,help
assist,help
at an early date,soon
at the moment,now
at the present time,now
attempt,try
attend,be at
attributable to,because of
authorise,allow
axiomatic,clear
belated,late
beneficial,helpful
benefit,help
bestow,give
breach,break
by means of,by
calculate,work out
capability,ability
caveat,warning
cease,stop
circumvent,get around
close proximity,near
combat environment,combat
combined,together
combine,mix
commence,begin
competent,able
complete,finish
completion,end
comply with,follow
component,part
comprises,includes
comprise,include
compulsory,a must
conceal,hide
concerning,about
conclusion,end
concur,agree
condition,rule
consequently,so
considerable,great
consolidate,join
constitutes,makes up
construe,interpret
consult,ask
consumption,amount used
contains,has
contemplate,think about
contrary to,despite
convene,meet
costs the sum of,costs
counter,against
courteous,polite
cumulative,added up
currently,now
customary,normal
deduct,take away
deem to be,treat as
deem,think
defer,put off
deficiency,lack of
delete,cross out
demonstrate,show
denote,show
depart,leave
depict,show
designate,choose
desire,want
despatch,send
dispatch,send
despite the fact that,although
determine,decide
detrimental,bad
difficulties,problems
diminish,reduce
disburse,pay out
disclose,show
discontinue,stop
discuss,talk about
disseminate,spread
documentation,documents
domiciled in,living in
dominant,main
due to the fact that,because
during the period,during
during which time,while
dwelling,home
economical,cheap
effect modifications,make changes
elect,choose
eligible,allowed
eliminate,cut
elucidate,explain
emphasise,stress
employ,use
empower,allow
enable,allow
enclosed,inside
encounter,meet
endeavor,try
endeavour,try
enquire,ask
enquiry,question
ensure,make sure
entitlement,right
enumerate,count
envisage,imagine
equipments,equipment
equitable,fair
equivalent,equal
erroneous,wrong
establish,set up
evidenced,showed
evident,clear
evince,prove
excessive,too much
exclude,leave out
excluding,except
exclusively,only
exempt from,free from
exhibit,show
expedite,speed up
expeditious,fast
expeditiously,quickly
expend,spend
expenditure,spending
expertise,ability
expiration,end
expire,run out
extant,current
extremity,limit
fabricate,make up
facilitate,help
factor,reason
failed to,didn’t
failure to,if you do not
feasible,possible
females,women
finalise,finish
finalize,finish
following,after
for a period of,for
for the duration of,while
for the purpose of,for
for the reason that,because
forfeit,lose
formulate,plan
forthwith,now
frequently,often
further to,after
furthermore,also
generate,make
give consideration to,think about
grant,give
has a requirement for,needs
have regard to,take into account
henceforth,from today
herein,here
hereinafter,after this
hereof,of this
heretofore,until now
hereto,to this
hereunder,below
herewith,here
hitherto,until now
hold in abeyance,wait
hope and trust,hope
however,but
identical,same
identify,find
if and when,if
immediately,at once
impacted,changed
implement,carry out
imply,hint at
in a number of cases,in some cases
in a timely manner,on time
in accordance with,following
in addition to,also
in addition,also
in advance,before
in an effort to,to
in case of,if
in conjunction with,with
in consequence,because
in excess of,more than
in lieu of,instead of
in order that,so
in order to,to
in regard to,on
in relation to,about
in respect of,about
in the absence of,without
in the amount of,for
in the course of,while
in the event of,if
in the event that,if
in the majority of instances,mostly
in the near future,soon
in the neighbourhood of,around
in view of,since
in view of the above,so
in view of the fact that,as
inappropriate,wrong
inasmuch as,since
inception,start
incorporating,which includes
incumbent upon,must
indicate,show
indication,sign
inform,tell
initial,first
initially,at first
initiate,start
insert,put in
instances,cases
intend to,will
interpose no objection,don’t say no
intimate,say
irrespective of,even if
is applicable to,applies to
is authorized to,may
is in consonance with,agrees with
is of the opinion,thinks
is responsible for,handles
it appears,seems
it is compulsory,you must
it is essential,must
it is mandatory,you must
it is obligatory,you must
it is requested,please
jeopardise,threaten
large number of,many
liaison,discussion
limited number,limits
locality,area
locate,find
magnitude,size
mandatory,a must
manner,way
manufacture,make
marginal,small
maximum,most
may in the future,may
merchandise,goods
methodology,method
minimize,decrease
minimum,least
mislay,lose
modification,change
modify,change
moreover,also
necessitate,need
negligible,very small
nevertheless,however
not later than,by
notify,tell
notwithstanding,still
numerous,many
obligate,compel
obligatory,a must
observe,see
obtain,get
occasioned by,because of
on behalf of,for
on numerous occasions,often
on request,if you ask
on the grounds that,because
on the occasion that,when
operate,use
optimum,best
option,choice
ordinarily,usually
otherwise,or
owing to,because of
partially,partly
participate,join in
particulars,details
per annum,a year
perform,do
permissible,allowed
permit,let
personnel,staff
persons,people
pertaining to,about
peruse,read
place,put
portion,part
possess,own
possessions,belongings
practicable,practical
preclude,prevent
predominant,main
preserve,protect
previous,earlier
previously,before
principal,main
prior to,before
prioritize,rank
proceed,go
procure,get
proficiency,skill
profusion of,plenty
prohibit,ban
projected,estimated
prolonged,long
promptly,quickly
proportion,part
provide,give
provided that,if
provides guidance for,guides
provisions,rules
proximity,closeness
purchase,buy
pursuant to,because of
reconsider,think again about
reduce,cut
reduction,cut
referred to as,called
refers to,talks about
regarding,about
regulation,rule
reimburse,pay back
reiterate,repeat
relating to,about
relocate,move
remain,stay
remainder,rest
remittance,payment
remuneration,pay
render,make
report,tell
represents,is
request,ask
requirements,needs
requirement,need
require,need
reside,live
residence,home
restriction,limit
retain,keep
review,look at
revised,"new, changed"
scrutinise,look at carefully
selection,choice
select,choose
set forth in,in
similar to,like
similarly,also
solely,only
solicit,ask for
specified,set
state-of-the-art,latest
statutory,legal
subject to,depending on
submit,send
subsequent to,after
subsequently,then
subsequent,next
substantial,large
successfully complete,complete
sufficient,enough
supplement,add to
supplementary,more
supply,give
terminate,end
that being the case,if so
the question as to whether,whether
thereafter,then
thereby,because of that
therefore,so
therein,there
thereto,to that
thus,so
timely,quick
to date,so far
to the extent that,if
transmit,send
ultimately,in the end
unavailability,lack of
under the provisions of,under
undernoted,the following
unoccupied,empty
until such time as,until
until such time,until
utilisation,use
utilise,use
utilization,use
utilize,use
validate,confirm
variation,change
viable,practical
virtually,almost
visualise,see
ways and means,ways
we have pleasure in,we are glad to
whatsoever,whatever
whensoever,when
whereas,but
whether or not,whether
with a view to,to
with effect from,from
with reference to,about
with regard to,about
with respect to,about
with the exception of,except for
with the minimum of delay,quickly
witnessed,saw
you are requested,please
your attention is drawn to,please note
zone,area
